PlaythroughID,RecordType,Order,Name,FromNode,ToNode,Weight,TravelTime,DecisionTime,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,1,1001,P10_A,P10_B,2,6.380,,11,20.400,5.400
1,Path,2,1002,P10_C,P10_D,1,4.700,,11,20.400,5.400
1,Path,3,1003,P10_E,P10_F,8,9.320,,11,20.400,5.400
1,Decision,1,Blue_1,,,,,2.600,11,20.400,5.400
1,Decision,2,Blue_5,,,,,2.800,11,20.400,5.400
1,Path,1,1001,P10_A,P10_B,2,7.760,,11,21.320,11.620
1,Path,2,1002,P10_C,P10_D,1,4.900,,11,21.320,11.620
1,Path,3,1003,P10_E,P10_F,8,8.660,,11,21.320,11.620
1,Decision,1,Blue_1,,,,,8.660,11,21.320,11.620
1,Decision,2,Blue_5,,,,,2.960,11,21.320,11.620
1,Path,1,1003,P10_E,P10_F,8,9.080,,8,9.080,4.940
1,Decision,1,Blue_5,,,,,4.940,8,9.080,4.940
1,Path,1,6003,P20_E,P42_F,7,43.940,,7,43.940,2.640
1,Decision,1,Blue_5,,,,,2.640,7,43.940,2.640
1,Path,1,3003,P31_E,P31_F,3,11.600,,3,11.600,1.880
1,Decision,1,Blue_6,,,,,1.880,3,11.600,1.880
